在原excel中的第几行(行号从1开始),真实数据序号(序号从0开始),转弯角度,转弯速度,vehicleplatenumber,device_num,direction_angle,lng,lat,acc_state,right_turn_signals,left_turn_signals,hand_brake,foot_brake,location_time,gps_speed,mileage
73465,73463,358.0,49.0,AA00160,AAA9102160,1.0,115.772383,29.106355,1,0,0,0,0,2018/9/11 9:45,49.0,15598
73467,73465,358.0,50.0,AA00160,AAA9102160,359.0,115.772386,29.106608,1,0,0,0,0,2018/9/11 9:45,50.0,15598
73468,73466,358.0,49.0,AA00160,AAA9102160,1.0,115.77239,29.106733,1,0,0,0,0,2018/9/11 9:45,49.0,15598
73470,73468,358.0,47.0,AA00160,AAA9102160,359.0,115.772393,29.106968,1,0,0,0,0,2018/9/11 9:45,47.0,15598
73473,73471,359.0,43.0,AA00160,AAA9102160,0.0,115.77239,29.107303,1,0,0,0,0,2018/9/11 9:45,43.0,15598
73476,73474,359.0,42.0,AA00160,AAA9102160,359.0,115.772398,29.107618,1,0,0,0,0,2018/9/11 9:45,42.0,15599
73477,73475,359.0,41.0,AA00160,AAA9102160,0.0,115.772398,29.107721,1,0,0,0,0,2018/9/11 9:45,41.0,15599
73478,73476,358.0,44.0,AA00160,AAA9102160,358.0,115.772395,29.107826,1,0,0,0,0,2018/9/11 9:45,44.0,15599
73483,73481,359.0,42.0,AA00160,AAA9102160,0.0,115.772383,29.108355,1,0,0,0,0,2018/9/11 9:45,42.0,15599
73489,73487,359.0,41.0,AA00160,AAA9102160,0.0,115.772401,29.108975,1,0,0,0,0,2018/9/11 9:45,41.0,15599
73490,73488,359.0,42.0,AA00160,AAA9102160,359.0,115.7724,29.109081,1,0,0,0,0,2018/9/11 9:45,42.0,15599
73509,73507,358.0,44.0,AA00160,AAA9102160,359.0,115.772461,29.111101,1,0,0,0,0,2018/9/11 9:46,44.0,15599
73510,73508,359.0,46.0,AA00160,AAA9102160,0.0,115.772463,29.111216,1,0,0,0,0,2018/9/11 9:46,46.0,15599
73511,73509,359.0,45.0,AA00160,AAA9102160,359.0,115.772463,29.111331,1,0,0,0,0,2018/9/11 9:46,45.0,15599
73513,73511,358.0,44.0,AA00160,AAA9102160,1.0,115.772465,29.111558,1,0,0,0,0,2018/9/11 9:46,44.0,15599
73516,73514,359.0,46.0,AA00160,AAA9102160,359.0,115.772473,29.111905,1,0,0,0,0,2018/9/11 9:46,46.0,15599
73517,73515,359.0,45.0,AA00160,AAA9102160,0.0,115.772473,29.11202,1,0,0,0,0,2018/9/11 9:46,45.0,15599
73519,73517,358.0,41.0,AA00160,AAA9102160,358.0,115.772471,29.112235,1,0,0,0,0,2018/9/11 9:46,41.0,15599
73525,73523,359.0,41.0,AA00160,AAA9102160,359.0,115.772453,29.112841,1,0,0,0,0,2018/9/11 9:46,41.0,15599
73531,73529,358.0,41.0,AA00160,AAA9102160,358.0,115.772463,29.11344,1,0,0,0,0,2018/9/11 9:46,41.0,15599
73533,73531,359.0,43.0,AA00160,AAA9102160,0.0,115.772465,29.113653,1,0,0,0,0,2018/9/11 9:46,43.0,15599
73536,73534,359.0,46.0,AA00160,AAA9102160,359.0,115.772471,29.113991,1,0,0,0,0,2018/9/11 9:46,46.0,15599
80749,80747,356.0,55.0,AA00160,AAA9102160,2.0,115.881541,28.735358,1,0,0,0,0,2018/9/12 8:57,55.0,15672
81110,81108,358.0,81.0,AA00160,AAA9102160,359.0,115.928436,28.785541,1,0,0,0,0,2018/9/12 9:03,81.0,15680
81125,81123,359.0,78.0,AA00160,AAA9102160,0.0,115.928323,28.788565,1,0,0,0,0,2018/9/12 9:03,78.0,15680
87262,87260,337.0,44.0,AA00160,AAA9102160,4.0,115.891258,28.834385,1,0,0,0,0,2018/9/12 10:47,44.0,15701
89320,89318,175.0,45.0,AA00160,AAA9102160,175.0,115.876228,28.68281,1,0,0,0,0,2018/9/12 11:22,45.0,15729
96758,96756,341.0,49.0,AA00160,AAA9102160,5.0,115.909363,28.639435,1,0,0,0,0,2018/9/13 5:37,49.0,15768
